"的","de,di","Noun => 1. target  2. objective | Adverb => 1. really  2. truly"
"年","nián","Noun => 1. year"
"中","zhōng","Noun => 1. middle  2. center | Proper noun => 1. China  2. Chinese"
"一","一","Adjective => 1. each  2. single | Numeral => 1. one"
"大","dà,dài,tài","Adjective => 1. big  2. large | Adverb => 1. greatly"
"是","shì","Adjective => 1. right  2. true | Noun => 1. yes"
"有","yǒu","Adjective => 1. some (Beginning Mandarin) | Adverb => 1. again (archaic)"
"國","guó","Noun => 1. country (Beginning Mandarin)  2. nation (Beginning Mandarin) | Proper noun => 1. Guo  2. Gwok"
"月","yuè","Noun => 1. moon (literary)  2. month"
"地","dì","Noun => 1. earth  2. soil | Particle => 1. -ly"
"文","wén","Verb => 1. tattoo  2. cover | Proper noun => 1. Wen  2. w:Kangxi_radical"
"之","zhī","Particle => 1. possessive  2. 's"
"家","jiā","Noun => 1. home (Beginning Mandarin)  2. family (Beginning Mandarin) | Pronoun => 1. my (polite)"
"用","yòng","Preposition => 1. with  2. by | Verb => 1. use  2. employ"
"市","shì","Noun => 1. city  2. market"
"西","xī","Noun => 1. west  2. western"
"作","zuò","Verb => 1. do (chiefly Mandarin)  2. perform (chiefly Mandarin)"
"子","zǐ,zi","Noun => 1. son (literary)  2. child (literary) | Pronoun => 1. you (literary)"
"南","nán","Noun => 1. south  2. southern"
"方","fāng,fēng,páng,wǎng","Noun => 1. region | Adverb => 1. just (literary)  2. now (literary)"
"分","fēn","Verb => 1. divide  2. separate | Noun => 1. part  2. share"
"他","tā","Pronoun => 1. he  2. him"
"學","xué","Verb => 1. study  2. learn"
"自","zì","Preposition => 1. since  2. from | Noun => 1. self  2. oneself"
"北","běi","Noun => 1. north  2. northern"
"而","ér","Conjunction => 1. and (Beginning Mandarin)  2. but (Beginning Mandarin)"
"本","běn","Adjective => 1. current  2. present | Adverb => 1. originally  2. hereof"
"美","měi","Adjective => 1. beautiful  2. pretty | Proper noun => 1. USA  2. Americas"
"共","gòng","Adverb => 1. together  2. co-"
"於","yú,wū","Preposition => 1. in | Proper noun => 1. 于"
"物","wù","Noun => 1. thing  2. matter"
"海","hǎi","Noun => 1. sea  2. ocean | Proper noun => 1. Hai  2. Hoi"
"立","lì","Adjective => 1. standing  2. upright | Adverb => 1. immediately  2. at once"
"也","yě","Proper noun => 1. Ye | Adverb => 1. also  2. too"
"要","yāo","Adjective => 1. vital  2. important | Conjunction => 1. if  2. in case"
"利","lì,biè,2nb=rare","Adjective => 1. sharp | Verb => 1. benefit"
"十","shí","Numeral => 1. ten"
"州","zhōu","Noun => 1. prefecture  2. state"
"王","wáng,Wáng","Verb => 1. reign (archaic)  2. rule (archaic) | Noun => 1. king  2. monarch"
"山","shān","Noun => 1. mountain  2. hill | Proper noun => 1. Shan"
"下","xià","Verb => 1. as an animal  2. download"
"者","zhě","Pronoun => 1. this (dated)"
"事","shì","Verb => 1. serve | Noun => 1. thing  2. matter"
"元","yuán,ruì,yuè","Noun => 1. yuan  2. renminbi | Proper noun => 1. w:Yuan_Dynasty"
"合","hé","Adjective => 1. whole  2. together | Noun => 1. 升  2. decilitre"
"平","bīng,píng,Píng","Adjective => 1. cheap"
"里","lǐ,tóng,chóng","Preposition => 1. in  2. inside | Noun => 1. inside  2. interior"
"都","dōu","Noun => 1. capital  2. metropolis | Proper noun => 1. Du"
"道","dào","Verb => 1. say | Noun => 1. word  2. way"
"城","chéng","Noun => 1. castle (archaic)  2. city"
"得","de,di","Verb => 1. need  2. must | Particle => 1. used after a verb or an adjective to express possibility or capability"
"院","yuàn","Noun => 1. courtyard  2. yard"
"字","zì","Verb => 1. give birth  2. pregnant | Noun => 1. Chinese character  2. hanzi"
"金","jīn,Jīn,jìn","Adjective => 1. golden | Proper noun => 1. w:Jin_Dynasty_(1115–1234)  2. 金朝"
"力","lì","Adjective => 1. strenuously | Noun => 1. force  2. strength"
"系","xì","Verb => 1. tie  2. fasten | Noun => 1. department  2. faculty"
"入","rù","Verb => 1. enter  2. go into | Noun => 1. income  2. 入声"
"四","sì","Numeral => 1. four | Noun => 1. la (music)"
"音","yīn","Noun => 1. sound  2. tone"
"式","shì","Noun => 1. type  2. style"
"太","tài","Adjective => 1. very  2. extremely | Noun => 1. Miss  2. Mrs"
"口","kǒu","Noun => 1. mouth  2. entrance"
"帝","dì","Noun => 1. emperor"
"江","jiāng","Noun => 1. Yangtze (geography)  2. river (geography) | Proper noun => 1. Jiang  2. Kong"
"水","shuǐ","Noun => 1. water  2. liquid"
"人民","rénmín","Noun => 1. people (Beginning Mandarin)"
"开","kāi","Verb => 1. open  2. start"
"阿","ā,ē","Verb => 1. flatter | Particle => 1. traditionally in rural or southern Chinese dialects"
"言","yán","Verb => 1. say  2. speak | Proper noun => 1. w:Kangxi_radical‎"
"士","shì","Noun => 1. scholar  2. soldier | Proper noun => 1. Chinese  2. surname"
"河","hé","Noun => 1. river  2. stream"
